timestep,time_elapsed,ego_velocity,target_speed,distance_to_lead,lead_speed
0,0.0,9.859022455380348e-08,10,20.0,6.845970501181704e-08
1,0.1,7.795334161896348e-08,10,20.0,1.511520010430846e-07
2,0.2,8.031657299308766e-08,10,20.0,6.0146913220458874e-09
3,0.30000000000000004,1.1459137160392961e-07,10,20.0,2.3749739871967388e-07
4,0.4,3.109453669955793e-07,10,20.0,1.9006246090864684e-07
5,0.5,5.634943476477813e-08,10,20.0,2.1584348108214526e-07
6,0.6000000000000001,1.7970171829784184e-07,10,20.0,2.5547017470249434e-07
7,0.7000000000000001,1.1437891781871212e-08,10,20.0,8.572310465304503e-09
8,0.8,1.2080422209390362e-07,10,20.0,2.984675001376167e-08
9,0.9,1.180629424674986e-08,10,20.0,2.4005520807999375e-08
10,1.0,4.792249491327373e-08,10,20.0,1.999848082302296e-08
11,1.1,6.244879884063507e-08,10,20.0,3.7161898660119966e-08
12,1.2000000000000002,7.301844942006352e-08,10,20.0,3.442394274426913e-08
13,1.3,3.5093935623346513e-09,10,20.0,5.454759114574798e-09
14,1.4000000000000001,8.946735839898029e-08,10,20.0,0.0005953737640981167
15,1.5,3.7758091141029985e-08,10,20.018737792979746,0.30821613603446757
16,1.6,2.0333093551307268e-11,10,20.05346679711093,0.4510296622016105
17,1.7000000000000002,6.9866422068655495e-09,10,20.09912109797241,0.5168956863376726
18,1.8,3.236105777574653e-08,10,20.15283203802634,0.5512062992211711
19,1.9000000000000001,3.7009017424414864e-08,10,20.21539308258257,0.6528941602090019
20,2.0,7.051013672120811e-09,10,20.287841815111747,0.77585496801572
21,2.1,1.8543324874338727,10,20.2942505092778,0.863413375526026
22,2.2,3.828359864477906,10,20.082458501486286,0.9783285212356698
23,2.3000000000000003,4.891022718808481,10,19.739013674032186,1.0819177478893327
24,2.4000000000000004,5.123287502258219,10,19.341735891621422,1.183436049873068
25,2.5,3.42799519579264,10,19.052978643868144,1.2968552279280636
26,2.6,2.712710759129089,10,18.90991228755416,1.4053026125645505
27,2.7,2.9660050668606215,10,18.772339099683034,1.5029092738348522
28,2.8000000000000003,3.3236657670332086,10,18.61279325652508,1.5917229774343533
29,2.9000000000000004,3.7352502433210852,10,18.422546735324115,1.669972635478248
30,3.0,4.139210309192293,10,18.198364671742247,1.7375356375968651
31,3.1,4.201507374414723,10,17.953735831288355,1.7944372635508181
32,3.2,3.8643977057764674,10,17.734192409644205,1.8408905872742538
33,3.3000000000000003,3.7456424675924507,10,17.544922387800323,1.877168653967467
34,3.4000000000000004,3.8657874492469864,10,17.355896490521417,1.9035744392335665
35,3.5,4.1443034231918885,10,17.147217271846827,1.920406161546169
36,3.6,4.158758312228514,10,16.920715785567833,1.9279801658091191
37,3.7,3.806509968967999,10,16.717102457348954,1.926603504464395
38,3.8000000000000003,3.3675239589133983,10,16.553772305722585,1.9165912244717775
39,3.9000000000000004,3.2182064623597166,10,16.42071557829097,1.8982624330538846
40,4.0,3.3272003334812355,10,16.283508468960076,1.8562132502672262
41,4.1000000000000005,3.6273166212888945,10,16.118225207594104,1.786045982650045
42,4.2,3.687246181818379,10,15.921936102540242,1.689966999882281
43,4.3,3.371503415227874,10,15.70147716068375,0.4856905916625441
44,4.4,2.9530612838349977,10,15.390136954394377,0.00013764333267076285
45,4.5,2.809237207833149,10,15.1062015551095,0.0004995073149022895
46,4.6000000000000005,2.9183893890645662,10,14.821167563732777,0.0003511456285921253
47,4.7,3.215167090245028,10,14.513916838253595,0.00017848693075760917
48,4.800000000000001,3.278744227773602,10,14.183900076894735,0.0
49,4.9,2.9774308380851293,10,13.871034236128937,0.0
50,5.0,2.5731119532947693,10,13.594789498340548,0.0
51,5.1000000000000005,2.4317123638929323,10,13.348390952533434,0.0
52,5.2,2.53959448480767,10,13.100893819673262,0.0
53,5.300000000000001,2.8347413973916264,10,12.83136308605578,0.0
54,5.4,2.9019341636199227,10,12.539188419277014,0.0
55,5.5,2.6131246760152425,10,12.263249137080381,0.0
56,5.6000000000000005,2.2232854750712256,10,12.022649181856998,0.0
57,5.7,2.0833771987409384,10,11.811040892510178,0.0
58,5.800000000000001,2.188404248179136,10,11.598517125839122,0.0
59,5.9,2.1863447828379123,10,11.375617471850743,0.0
60,6.0,0.8372973177781435,10,11.203071690574774,0.0
61,6.1000000000000005,0.1501577889432497,10,11.187202608087025,0.0
62,6.2,0.49535202995303634,10,11.154609954727388,0.0
63,6.300000000000001,0.794857161180015,10,11.089913058165799,0.0
64,6.4,1.1749726675829733,10,10.991829977806429,0.0
65,6.5,1.540263587444038,10,10.853829854396182,0.0
66,6.6000000000000005,1.9609265551490145,10,10.675119640670184,0.0
67,6.7,2.039196784336234,10,10.468577818477275,0.0
68,6.800000000000001,0.5920400820534508,10,10.313671727296612,0.0
69,6.9,0.19234347306765204,10,10.303051692715506,0.0
70,7.0,0.4441573929958038,10,10.273632835088435,0.0
